"County","State","Outbreak Date","Flock Type","Flock Size"
"Edmunds","South Dakota","12-18-2023","Commercial Upland Gamebird Producer","1000"
"Sioux","Iowa","12-17-2024","Commercial Table Egg Layer","428600"
"Lancaster","Nebraska","12-17-2024","WOAH Poultry","290"
"Stanislaus","California","12-17-2024","Commercial Turkey Meat Bird","33100"
"Monona","Iowa","12-17-2024","WOAH Non-Poultry","30"
"Lemhi","Idaho","12-17-2024","WOAH Non-Poultry","150"
"Worth","Iowa","12-17-2024","Commercial Turkey Meat Bird","19500"
"Charles Mix","South Dakota","12-17-2024","WOAH Poultry","1800"
"O'brien","Iowa","12-17-2024","Commercial Table Egg Layer","351400"
"Lemhi","Idaho","12-17-2024","WOAH Non-Poultry","20"
"Charles Mix","South Dakota","12-17-2024","Commercial Turkey Meat Bird","74800"
"Bon Homme","South Dakota","12-17-2024","Commercial Turkey Meat Bird","48700"
"Merced","California","12-16-2024","Commercial Table Egg Pullets","424700"
"Merced","California","12-16-2024","Commercial Turkey Meat Bird","53100"
"Sarpy","Nebraska","12-16-2024","WOAH Non-Poultry","30"
"Butte","California","12-16-2022","WOAH Non-Poultry","20"
"Weld","Colorado","12-16-2022","Commercial Table Egg Layer","1291000"
"Flathead","Montana","12-16-2022","WOAH Non-Poultry","0"
"Duval","Florida","12-16-2022","WOAH Non-Poultry","10"
"Waseca","Minnesota","12-15-2023","WOAH Non-Poultry","90"
"Latah","Idaho","12-15-2023","WOAH Poultry","200"
"Polk","Oregon","12-15-2022","WOAH Non-Poultry","20"
"Merced","California","12-14-2024","Commercial Duck Meat Bird","119000"
"Tulare","California","12-14-2024","Commercial Duck Meat Bird","41100"
"Bossier","Louisiana","12-14-2024","WOAH Non-Poultry","40"
"Monterey","California","12-14-2024","Commercial Duck Breeder","13700"
"Darke","Ohio","12-14-2023","Commercial Table Egg Layer","522300"
"Clatsop","Oregon","12-14-2023","WOAH Non-Poultry","30"
"Scott","Arkansas","12-14-2023","WOAH Non-Poultry","180"
"Redwood","Minnesota","12-14-2022","WOAH Non-Poultry","40"
"Spink","South Dakota","12-14-2022","WOAH Poultry","280"
"Moody","South Dakota","12-14-2022","Commercial Table Egg Layer","1332100"
"Franklin","Washington","12-14-2022","Commercial Table Egg Layer","1015500"
"Weakley","Tennessee","12-14-2022","WOAH Poultry","37900"
"Knox","Nebraska","12-14-2022","WOAH Poultry","160"
"Tulare","California","12-13-2024","Commercial Broiler Production","514500"
"Livingston","Illinois","12-13-2024","Commercial Turkey Breeder Hens","40500"
"Barron","Wisconsin","12-13-2024","Commercial Turkey Breeder Hens","13200"
"Merced","California","12-13-2023","Commercial Broiler Production","183100"
"Merced","California","12-13-2023","Commercial Table Egg Layer","1358600"
"Rice","Kansas","12-13-2023","Commercial Table Egg Layer","700000"
"Weld","Colorado","12-13-2023","WOAH Non-Poultry","30"
"Mcpherson","Kansas","12-13-2023","WOAH Poultry","20000"
"San Joaquin","California","12-13-2023","Commercial Duck Breeder","6000"
"Columbia","Oregon","12-13-2022","WOAH Non-Poultry","100"
"Daviess","Indiana","12-13-2022","Commercial Turkey Meat Bird","11400"
"Linn","Oregon","12-13-2022","WOAH Non-Poultry","20"
"Pope","Arkansas","12-12-2024","WOAH Non-Poultry","40"
"Kingsbury","South Dakota","12-12-2024","Commercial Turkey Meat Bird","39300"
"Craighead","Arkansas","12-12-2024","WOAH Non-Poultry","10"
"Sac","Iowa","12-12-2024","Commercial Turkey Meat Bird","45200"
"Lake","South Dakota","12-12-2023","Commercial Turkey Meat Bird","76000"
"Dutchess","New York","12-12-2023","WOAH Poultry","4200"
"St. Louis","Missouri","12-12-2023","WOAH Non-Poultry","20"
"Etowah","Alabama","12-12-2023","WOAH Non-Poultry","80"
"Ida","Iowa","12-12-2022","Commercial Turkey Meat Bird","90000"
"Hanson","South Dakota","12-12-2022","Commercial Turkey Meat Bird","23900"
"Cherokee","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Sac","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Wadena","Minnesota","12-12-2022","Commercial Turkey Meat Bird","298100"
"Buena Vista","Iowa","12-12-2022","Commercial Turkey Meat Bird","51200"
"Adair","Oklahoma","12-11-2024","WOAH Poultry","40000"
"Palo Alto","Iowa","12-11-2024","Commercial Turkey Meat Bird","31100"
"Sioux","Iowa","12-11-2024","Commercial Table Egg Layer","1575700"
"Brule","South Dakota","12-11-2024","Commercial Turkey Meat Bird","50900"
"Dodge","Nebraska","12-11-2024","WOAH Non-Poultry","10"
"Olmsted","Minnesota","12-11-2023","Commercial Turkey Breeder Hens","14400"
"Charles Mix","South Dakota","12-10-2024","Commercial Turkey Meat Bird","32400"
"Jewell","Kansas","12-10-2024","WOAH Non-Poultry","40"
"Stanislaus","California","12-10-2024","Commercial Duck Breeder","81800"
"Moody","South Dakota","12-10-2024","Commercial Turkey Meat Bird","46700"
"La Plata","Colorado","12-10-2024","WOAH Non-Poultry","20"
"Beadle","South Dakota","12-10-2024","Commercial Turkey Meat Bird","52200"
"Cedar","Missouri","12-10-2024","WOAH Non-Poultry","20"
"Tulare","California","12-10-2024","Commercial Broiler Production","330200"
"Daviess","Missouri","12-10-2024","WOAH Poultry","19900"
"Jefferson","Idaho","12-10-2024","WOAH Non-Poultry","60"
"Franklin","Idaho","12-10-2024","WOAH Non-Poultry","40"
"Hutchinson","South Dakota","12-09-2024","Commercial Turkey Meat Bird","42800"
"Kern","California","12-09-2024","WOAH Poultry","45400"
"Beadle","South Dakota","12-09-2024","Commercial Turkey Meat Bird","50600"
"Lafayette","Arkansas","12-09-2024","WOAH Non-Poultry","40"
"Osage","Missouri","12-09-2022","Commercial Turkey Meat Bird","19700"
"Clackamas","Oregon","12-09-2022","WOAH Non-Poultry","60"
"Onslow","North Carolina","12-09-2022","WOAH Non-Poultry","60"
"Prowers","Colorado","12-09-2022","Commercial Upland Gamebird Producer","11000"
"Polk","Oregon","12-09-2022","WOAH Non-Poultry","70"
"Barron","Wisconsin","12-08-2023","Commercial Turkey Meat Bird","70000"
"Barton","Kansas","12-08-2023","WOAH Non-Poultry","30"
"Mills","Iowa","12-08-2023","WOAH Non-Poultry","10"
"Charles Mix","South Dakota","12-08-2023","Commercial Turkey Meat Bird","32400"
"Hamlin","South Dakota","12-08-2022","Commercial Turkey Meat Bird","58100"
"Dodge","Minnesota","12-08-2022","Commercial Turkey Meat Bird","10000"
"Dade","Missouri","12-08-2022","WOAH Non-Poultry","30"
"Darke","Ohio","12-07-2023","Commercial Turkey Meat Bird","15200"
"Montmorency","Michigan","12-07-2023","WOAH Poultry","100"
"Hardin","Ohio","12-07-2023","Commercial Table Egg Layer","2613600"
"Carroll","Arkansas","12-07-2023","Commercial Turkey Meat Bird","33300"
"Stanislaus","California","12-07-2023","Commercial Broiler Production","258600"
"Orleans","Vermont","12-07-2023","WOAH Non-Poultry","40"
"Sonoma","California","12-07-2023","Commercial Duck Meat Bird","4900"
"Kingsbury","South Dakota","12-07-2022","WOAH Non-Poultry","70"
"Cherokee","Iowa","12-07-2022","Commercial Turkey Meat Bird","105000"
"Sac","Iowa","12-07-2022","Commercial Turkey Meat Bird","40000"
"Sioux","Iowa","12-06-2024","Commercial Table Egg Layer","4200000"
"Stanislaus","California","12-06-2024","WOAH Poultry","44100"
"Washakie","Wyoming","12-06-2024","WOAH Non-Poultry","20"
"Nemaha","Nebraska","12-06-2024","Commercial Turkey Breeder Hens","12400"
"Pitkin","Colorado","12-06-2024","WOAH Non-Poultry","50"
"Sonoma","California","12-06-2023","Commercial Table Egg Layer","232000"
"Becker","Minnesota","12-06-2023","Commercial Breeder Operation","20600"
"Hamlin","South Dakota","12-06-2023","Commercial Turkey Meat Bird","56200"
"Bon Homme","South Dakota","12-06-2023","Commercial Turkey Meat Bird","47600"
"Todd","Minnesota","12-06-2023","Commercial Turkey Meat Bird","64000"
"Denton","Texas","12-06-2022","WOAH Non-Poultry","40"
"Harrison","Missouri","12-06-2022","WOAH Non-Poultry","30"
"Lamoille","Vermont","12-06-2022","WOAH Non-Poultry","50"
"Larimer","Colorado","12-06-2022","WOAH Non-Poultry","2"
"Pawnee","Oklahoma","12-06-2022","WOAH Non-Poultry","30"
"Merced","California","12-05-2024","Commercial Table Egg Layer","306100"
"Merced","California","12-05-2024","Commercial Table Egg Layer","1723800"
"Merced","California","12-05-2024","Commercial Table Egg Layer","793700"
"San Joaquin","California","12-05-2024","Commercial Duck Meat Bird","13000"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","239900"
"Spink","South Dakota","12-05-2023","Commercial Turkey Meat Bird","26600"
"Kingsbury","South Dakota","12-05-2023","WOAH Non-Poultry","370"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","254400"
"Shawnee","Kansas","12-05-2023","WOAH Non-Poultry","70"
"Otter Tail","Minnesota","12-05-2023","Commercial Turkey Meat Bird","26300"
"Lawrence","Alabama","12-05-2022","WOAH Non-Poultry","460"
"Clark","South Dakota","12-05-2022","Commercial Turkey Meat Bird","24300"
"Charles Mix","South Dakota","12-05-2022","Commercial Turkey Meat Bird","34100"
"Buena Vista","Iowa","12-05-2022","Commercial Turkey Meat Bird","40700"
"Stanislaus","California","12-04-2024","Commercial Table Egg Layer","720800"
"Stanislaus","California","12-04-2024","Commercial Turkey Meat Bird","57700"
"Riverside","California","12-04-2024","WOAH Non-Poultry","70"
"Sacramento","California","12-04-2024","Commercial Turkey Meat Bird","61200"
"Charles Mix","South Dakota","12-04-2024","Commercial Turkey Meat Bird","65200"
"Stanislaus","California","12-04-2024","Commercial Turkey Meat Bird","23100"
"Mcpherson","South Dakota","12-04-2023","Commercial Turkey Meat Bird","40800"
"Pottawatomie","Kansas","12-04-2023","WOAH Non-Poultry","30"
"Barron","Wisconsin","12-04-2023","Commercial Turkey Meat Bird","113800"
"Johnson","Arkansas","12-04-2023","Commercial Broiler Production","109000"
"Utah","Utah","12-03-2024","WOAH Non-Poultry","30"
"Spink","South Dakota","12-03-2024","Commercial Turkey Meat Bird","41400"
"Adair","Oklahoma","12-03-2024","Commercial Broiler Breeder","63700"
"Mcpherson","South Dakota","12-03-2024","Commercial Turkey Meat Bird","78200"
"Fresno","California","12-03-2024","Commercial Broiler Production","237100"
"Douglas","Kansas","12-03-2024","WOAH Non-Poultry","100"
"Bottineau","North Dakota","12-02-2024","WOAH Poultry","30"
"Union","North Carolina","12-02-2022","WOAH Non-Poultry","9"
"Knox","Nebraska","12-02-2022","WOAH Non-Poultry","10"
"Clark","South Dakota","12-02-2022","WOAH Non-Poultry","40"
"Bay","Michigan","12-01-2023","WOAH Non-Poultry","60"
"Canyon","Idaho","12-01-2023","WOAH Non-Poultry","20"
"Woodbury","Iowa","12-01-2023","WOAH Non-Poultry","40"
"Darke","Ohio","12-01-2023","Commercial Turkey Meat Bird","33000"
"Arkansas","Arkansas","12-01-2022","WOAH Non-Poultry","20"
"Lake","South Dakota","12-01-2022","Commercial Turkey Meat Bird","78000"
"Jackson","Missouri","12-01-2022","WOAH Non-Poultry","30"
"Brookings","South Dakota","12-01-2022","WOAH Non-Poultry","210"
"Minnehaha","South Dakota","11-30-2023","WOAH Non-Poultry","80"
"Bent","Colorado","11-30-2023","WOAH Poultry","4100"
"Sonoma","California","11-30-2023","Commercial Table Egg Layer","82500"
"San Benito","California","11-30-2023","Commercial Duck Breeder","5000"
"Lewis And Clark","Montana","11-30-2023","WOAH Non-Poultry","6"
"Grundy","Illinois","11-30-2022","WOAH Poultry","8800"
"Hamlin","South Dakota","11-30-2022","Commercial Turkey Meat Bird","50000"
"Charles Mix","South Dakota","11-30-2022","Commercial Turkey Meat Bird","75100"
"Gibson","Tennessee","11-29-2024","Commercial Broiler Breeder","37700"
"Fresno","California","11-29-2024","Commercial Broiler Production","266400"
"Fresno","California","11-29-2024","Commercial Duck Breeder","23100"
"Merced","California","11-29-2024","Commercial Turkey Meat Bird","25200"
"Tulare","California","11-29-2024","Commercial Duck Breeder","26500"
"Meeker","Minnesota","11-29-2024","Commercial Turkey Meat Bird","223800"
"Becker","Minnesota","11-29-2023","Commercial Turkey Breeder Hens","23200"
"Douglas","Minnesota","11-29-2023","Commercial Turkey Meat Bird","13500"
"Carroll","Arkansas","11-29-2023","Commercial Broiler Production","81200"
"Otter Tail","Minnesota","11-29-2023","Commercial Turkey Meat Bird","18800"
"Morgan","Colorado","11-29-2023","WOAH Non-Poultry","60"
"Woodbury","Iowa","11-29-2023","WOAH Non-Poultry","10"
"Dickey","North Dakota","11-29-2023","WOAH Poultry","130"
"Hanson","South Dakota","11-29-2022","Commercial Turkey Meat Bird","71600"
"Spink","South Dakota","11-29-2022","Commercial Turkey Meat Bird","32900"
"Washington","Maryland","11-29-2022","Commercial Table Egg Breeder","24600"
"Mcpherson","South Dakota","11-28-2023","Commercial Turkey Meat Bird","61800"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","23500"
"Yankton","South Dakota","11-28-2023","Commercial Turkey Meat Bird","49000"
"Sioux","Iowa","11-28-2023","Commercial Table Egg Layer","1616300"
"Dickey","North Dakota","11-28-2023","Commercial Turkey Meat Bird","60300"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","48700"
"Pierce","Washington","11-28-2023","WOAH Non-Poultry","540"
"Colfax","Nebraska","11-28-2023","WOAH Non-Poultry","20"
"Emmons","North Dakota","11-28-2023","WOAH Non-Poultry","60"
"Webster","Missouri","11-28-2022","Commercial Turkey Meat Bird","15100"
"Iron","Utah","11-28-2022","WOAH Poultry","3000"
"Faulk","South Dakota","11-27-2024","Commercial Turkey Meat Bird","56000"
"Sanpete","Utah","11-27-2024","Commercial Turkey Meat Bird","51800"
"Meeker","Minnesota","11-27-2024","Commercial Turkey Meat Bird","24700"
"Ransom","North Dakota","11-27-2024","Commercial Turkey Meat Bird","59500"
"Union","Oregon","11-27-2024","WOAH Non-Poultry","30"
"Beadle","South Dakota","11-27-2024","Commercial Turkey Meat Bird","41100"
"Sonoma","California","11-27-2023","Commercial Duck Breeder","205500"
"Brown","Minnesota","11-27-2023","Commercial Turkey Breeder Hens","7800"
"Matanuska Susitna","Alaska","11-26-2024","WOAH Non-Poultry","70"
"Meeker","Minnesota","11-25-2024","Commercial Turkey Meat Bird","30500"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","50700"
"Matanuska Susitna","Alaska","11-25-2022","WOAH Non-Poultry","40"
"Durham","North Carolina","11-25-2022","WOAH Non-Poultry","30"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","67900"
"Dixon","Nebraska","11-25-2022","Commercial Table Egg Layer","1700000"
"Turner","South Dakota","11-25-2022","WOAH Non-Poultry","210"
"Spink","South Dakota","11-25-2022","Commercial Turkey Meat Bird","55500"
"Otter Tail","Minnesota","11-24-2023","Commercial Breeder Operation","19400"
"Clackamas","Oregon","11-24-2023","WOAH Non-Poultry","10"
"Freeborn","Minnesota","11-24-2023","WOAH Non-Poultry","8"
"Kandiyohi","Minnesota","11-24-2023","Commercial Turkey Breeder Hens","7300"
"Davidson","Tennessee","11-23-2022","WOAH Non-Poultry","10"
"Brule","South Dakota","11-23-2022","WOAH Non-Poultry","30"
"Columbia","Oregon","11-23-2022","WOAH Non-Poultry","30"
"Broward","Florida","11-23-2022","WOAH Non-Poultry","10"
"Todd","Minnesota","11-23-2022","Commercial Turkey Meat Bird","44500"
"Faulk","South Dakota","11-23-2022","Commercial Turkey Meat Bird","49900"
"Merced","California","11-22-2024","Commercial Table Egg Pullets","538600"
"Mchenry","North Dakota","11-22-2024","WOAH Poultry","80"
"Trempealeau","Wisconsin","11-22-2023","Commercial Turkey Meat Bird","51300"
"Otter Tail","Minnesota","11-22-2023","Commercial Turkey Meat Bird","28000"
"Brule","South Dakota","11-22-2023","Commercial Turkey Meat Bird","45100"
"Stearns","Minnesota","11-22-2023","Commercial Turkey Meat Bird","34200"
"Beadle","South Dakota","11-22-2022","Commercial Turkey Meat Bird","29200"
"Webster","Missouri","11-22-2022","WOAH Poultry","9100"
"Piute","Utah","11-21-2024","Commercial Turkey Meat Bird","35500"
"Lemhi","Idaho","11-21-2024","WOAH Non-Poultry","20"
"Salt Lake","Utah","11-21-2024","WOAH Non-Poultry","30"
"Roger Mills","Oklahoma","11-21-2024","WOAH Non-Poultry","0"
"Maricopa","Arizona","11-21-2024","WOAH Non-Poultry","490"
"Madera","California","11-21-2024","WOAH Non-Poultry","0"
"Tulare","California","11-21-2024","Commercial Duck Meat Bird","96900"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","23600"
"Broward","Florida","11-21-2023","WOAH Non-Poultry","5"
"Brown","Minnesota","11-21-2023","Commercial Turkey Breeder Hens","6400"
"Sumter","Georgia","11-21-2023","Commercial Raised for Release Waterfowl","30000"
"Kandiyohi","Minnesota","11-21-2023","Commercial Breeder Operation","8400"
"Grimes","Texas","11-21-2023","WOAH Non-Poultry","60"
"Big Stone","Minnesota","11-21-2023","Commercial Turkey Meat Bird","78500"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","57400"
"Caroline","Maryland","11-21-2023","Commercial Broiler Production","192900"
"Union","Ohio","11-21-2023","Commercial Table Egg Layer","1348900"
"Kingsbury","South Dakota","11-21-2023","Commercial Turkey Meat Bird","28800"
"Beadle","South Dakota","11-21-2023","Commercial Turkey Meat Bird","78200"
"Washington","Maine","11-21-2022","WOAH Non-Poultry","90"
"Edmunds","South Dakota","11-21-2022","Commercial Turkey Meat Bird","34400"
"Matanuska Susitna","Alaska","11-20-2024","WOAH Non-Poultry","40"
"Kern","California","11-20-2024","Commercial Table Egg Layer","1022400"
"Marin","California","11-20-2024","Commercial Duck Meat Bird","6500"
"Day","South Dakota","11-20-2023","WOAH Poultry","60"
"San Juan","New Mexico","11-20-2023","WOAH Non-Poultry","20"
"Swift","Minnesota","11-20-2023","Commercial Turkey Meat Bird","134300"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Meat Bird","33400"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Hens","19200"
"Fresno","California","11-20-2023","Commercial Duck Breeder","23400"
"Taylor","Wisconsin","11-20-2023","WOAH Non-Poultry","8"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Replacement Hens","30100"
"Walworth","South Dakota","11-20-2023","WOAH Non-Poultry","0"
"Whatcom","Washington","11-19-2024","WOAH Non-Poultry","40"
"Fresno","California","11-19-2024","Commercial Broiler Production","172800"
"Lake","South Dakota","11-19-2024","WOAH Non-Poultry","20"
"Merced","California","11-19-2024","Commercial Turkey Meat Bird","38200"
"Henry","Illinois","11-19-2024","WOAH Poultry","5600"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","30"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","40"
"Honolulu","Hawaii","11-18-2024","WOAH Non-Poultry","9"
"Union","North Carolina","11-18-2022","WOAH Non-Poultry","50"
"Utah","Utah","11-18-2022","WOAH Non-Poultry","270"
"Fall River","South Dakota","11-17-2023","WOAH Non-Poultry","80"
"Broward","Florida","11-17-2022","WOAH Non-Poultry","20"
"Berks","Pennsylvania","11-17-2022","WOAH Non-Poultry","30"
"Benton","Iowa","11-16-2023","WOAH Non-Poultry","90"
"Linn","Oregon","11-16-2023","Commercial Broiler Production","630700"
"Marion","Oregon","11-16-2023","Commercial Broiler Production","123500"
"Stearns","Minnesota","11-16-2023","Commercial Turkey Meat Bird","43100"
"Duval","Florida","11-16-2023","WOAH Non-Poultry","50"
"Hillsborough","Florida","11-16-2022","WOAH Non-Poultry","100"
"Fresno","California","11-16-2022","Commercial Duck Breeder","34700"
"Seminole","Florida","11-16-2022","WOAH Poultry","100"
"Stanislaus","California","11-15-2024","Commercial Turkey Meat Bird","21500"
"Honolulu","Hawaii","11-15-2024","WOAH Non-Poultry","70"
"Piute","Utah","11-15-2024","Commercial Turkey Meat Bird","35000"
"Mcintosh","North Dakota","11-15-2023","WOAH Poultry","100"
"Cass","Michigan","11-15-2023","WOAH Non-Poultry","20"
"Edmunds","South Dakota","11-15-2023","Commercial Turkey Breeder Replacement Hens","24500"
"Lamoure","North Dakota","11-15-2023","Commercial Turkey Meat Bird","25100"
"Bledsoe","Tennessee","11-15-2022","Commercial Broiler Breeder","20900"
"Otter Tail","Minnesota","11-15-2022","Commercial Turkey Meat Bird","28200"
"Duval","Florida","11-15-2022","WOAH Non-Poultry","30"
"Fresno","California","11-14-2024","Commercial Broiler Production","259000"
"Fresno","California","11-14-2024","Commercial Turkey Meat Bird","39600"
"Fresno","California","11-14-2024","Commercial Turkey Meat Bird","17700"
"Fresno","California","11-14-2024","Commercial Turkey Meat Bird","17500"
"Kings","California","11-14-2024","Commercial Broiler Production","53300"
"Kings","California","11-14-2024","WOAH Non-Poultry","8"
