County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
Broward,Florida,10-11-2022,WOAH Non-Poultry,40,FL,12011,-80.48723143,26.15220703
Martin,Florida,10-11-2022,WOAH Non-Poultry,50,FL,12085,-80.43133534,27.07737178
Lapeer,Michigan,10-11-2022,WOAH Poultry,40,MI,26087,-83.22153148,43.09052506
Logan,Kentucky,10-11-2022,WOAH Non-Poultry,190,KY,21141,-86.87901935,36.8597188
Gregory,South Dakota,10-11-2022,Commercial Upland Gamebird Producer,200,SD,46053,-99.18590693,43.19247936
Adams,Pennsylvania,10-11-2022,WOAH Poultry,2800,PA,42001,-77.21807609,39.87146641
Glacier,Montana,10-10-2023,WOAH Poultry,77100,MT,30035,-112.9959167,48.70514099
Miami-dade,Florida,10-07-2024,Live Bird Sales  (non-slaughter),70,FL,,,
Pope,Minnesota,10-07-2022,WOAH Non-Poultry,30,MN,27121,-95.44454861,45.58611957
Johnson,Kansas,10-07-2022,WOAH Poultry,6,KS,20091,-94.82256945,38.88370015
Sanpete,Utah,10-07-2022,Commercial Turkey Meat Bird,26700,UT,49039,-111.5763852,39.37372605
Lapeer,Michigan,10-07-2022,WOAH Poultry,100,MI,26087,-83.22153148,43.09052506
Neosho,Kansas,10-07-2022,WOAH Poultry,2000,KS,20133,-95.30682401,37.5582728
Boulder,Colorado,10-07-2022,WOAH Poultry,600,CO,8013,-105.3574574,40.09241482
Sanpete,Utah,10-07-2022,Commercial Turkey Meat Bird,38900,UT,49039,-111.5763852,39.37372605
Madison,Arkansas,10-07-2022,Commercial Broiler Breeder Pullets,56000,AR,5087,-93.72465597,36.01103565
Sanpete,Utah,10-06-2023,Commercial Turkey Meat Bird,134200,UT,49039,-111.5763852,39.37372605
Sanpete,Utah,10-06-2023,Commercial Turkey Meat Bird,7600,UT,49039,-111.5763852,39.37372605
Fayette,Kentucky,10-06-2022,WOAH Poultry,150,KY,21067,-84.4589719,38.04287124
Brule,South Dakota,10-06-2022,Commercial Upland Gamebird Producer,500,SD,46015,-99.08125406,43.71816719
Hampton City,Virginia,10-06-2022,WOAH Non-Poultry,40,VA,,,
Matanuska Susitna,Alaska,10-05-2022,WOAH Poultry,10,AK,,,
Glacier,Montana,10-05-2022,WOAH Non-Poultry,1100,MT,30035,-112.9959167,48.70514099
Matanuska Susitna,Alaska,10-05-2022,WOAH Non-Poultry,40,AK,,,
Monroe,Pennsylvania,10-05-2022,WOAH Non-Poultry,40,PA,42089,-75.33930212,41.05812363
New Haven,Connecticut,10-05-2022,WOAH Non-Poultry,50,CT,9009,-72.93235204,41.41072833
Berks,Pennsylvania,10-05-2022,WOAH Non-Poultry,10,PA,42011,-75.92604322,40.41644424
Jerauld,South Dakota,10-04-2023,Commercial Turkey Meat Bird,47300,SD,46073,-98.62965972,44.06637798
Westmoreland,Pennsylvania,10-04-2022,WOAH Non-Poultry,160,PA,42129,-79.46732917,40.31090839
York,Nebraska,10-04-2022,Commercial Upland Gamebird Producer,139500,NE,31185,-97.59710186,40.87272618
Del Norte,California,10-04-2022,WOAH Poultry,43000,CA,6015,-123.8971513,41.74323775
Bernalillo,New Mexico,10-04-2022,WOAH Non-Poultry,40,NM,35001,-106.6705759,35.05121905
Box Butte,Nebraska,10-04-2022,WOAH Non-Poultry,100,NE,31013,-103.0860173,42.22084585
Monterey,California,10-04-2022,Commercial Duck Breeder,15100,CA,6053,-121.2387503,36.21711865
Canyon,Idaho,10-03-2024,WOAH Poultry,100,ID,16027,-116.7092162,43.6251769
Canyon,Idaho,10-03-2023,WOAH Non-Poultry,70,ID,16027,-116.7092162,43.6251769
Stanislaus,California,10-03-2022,Commercial Turkey Meat Bird,51000,CA,6099,-120.9979524,37.55851635
Cache,Utah,10-03-2022,WOAH Non-Poultry,320,UT,49005,-111.743741,41.72255404
Tuscola,Michigan,10-03-2022,WOAH Poultry,140,MI,26157,-83.41747147,43.46515989
Calaveras,California,10-03-2022,WOAH Non-Poultry,20,CA,6009,-120.554132,38.20478056
Portage,Ohio,10-03-2022,WOAH Non-Poultry,50,OH,39133,-81.19736816,41.16790847
Nelson,North Dakota,09-30-2022,WOAH Non-Poultry,50,ND,38063,-98.19212605,47.92171706
Douglas,Oregon,09-30-2022,WOAH Non-Poultry,30,OR,41019,-123.1658435,43.2796987
Dunn,Wisconsin,09-29-2022,Commercial Turkey Meat Bird,79500,WI,55033,-91.89653391,44.94674851
Mesa,Colorado,09-29-2022,WOAH Non-Poultry,40,CO,8077,-108.4664844,39.01825229
Sanpete,Utah,09-29-2022,Commercial Turkey Meat Bird,19900,UT,49039,-111.5763852,39.37372605
Sanpete,Utah,09-29-2022,Commercial Turkey Meat Bird,19300,UT,49039,-111.5763852,39.37372605
Lancaster,Pennsylvania,09-29-2022,WOAH Non-Poultry,180,PA,42071,-76.24786695,40.04261494
York,Pennsylvania,09-29-2022,Commercial Turkey Meat Bird,25900,PA,42133,-76.72634152,39.92001283
Tillamook,Oregon,09-28-2022,WOAH Non-Poultry,40,OR,41057,-123.7127608,45.46343846
Racine,Wisconsin,09-28-2022,Commercial Duck Meat Bird,10000,WI,55101,-88.06111861,42.74731284
Sanpete,Utah,09-28-2022,Commercial Turkey Meat Bird,24400,UT,49039,-111.5763852,39.37372605
Tillamook,Oregon,09-28-2022,WOAH Non-Poultry,10,OR,41057,-123.7127608,45.46343846
Lincoln,Idaho,09-27-2024,WOAH Poultry,700,ID,16063,-114.1383193,43.00232711
Goodhue,Minnesota,09-27-2022,WOAH Non-Poultry,80,MN,27049,-92.72266089,44.40972913
Sanpete,Utah,09-27-2022,Commercial Turkey Meat Bird,36700,UT,49039,-111.5763852,39.37372605
Sanpete,Utah,09-27-2022,Commercial Turkey Meat Bird,127200,UT,49039,-111.5763852,39.37372605
Ransom,North Dakota,09-27-2022,Commercial Turkey Meat Bird,69100,ND,38073,-97.65742504,46.45621782
Kent,Delaware,09-24-2022,WOAH Non-Poultry,10,DE,10001,-75.56844621,39.08639126
Kent,Delaware,09-24-2022,WOAH Non-Poultry,30,DE,10001,-75.56844621,39.08639126
Mcpherson,South Dakota,09-24-2022,Commercial Turkey Meat Bird,56900,SD,,,
Dallas,Texas,09-24-2022,WOAH Non-Poultry,60,TX,48113,-96.77788947,32.76665041
Merrimack,New Hampshire,09-23-2022,WOAH Poultry,250,NH,33013,-71.68059329,43.2975734
Ward,North Dakota,09-22-2022,WOAH Poultry,60,ND,38101,-101.541865,48.22179884
Anne Arundel,Maryland,09-22-2022,WOAH Non-Poultry,4,MD,24003,-76.60335105,39.0057724
Kingsbury,South Dakota,09-22-2022,WOAH Non-Poultry,250,SD,46077,-97.4913945,44.36956169
Todd,Minnesota,09-22-2022,WOAH Non-Poultry,50,MN,27153,-94.89728962,46.07014445
Gooding,Idaho,09-21-2022,Commercial Upland Gamebird Producer,9000,ID,16047,-114.8116615,42.97094353
Sanpete,Utah,09-21-2022,Commercial Turkey Meat Bird,11100,UT,49039,-111.5763852,39.37372605
Roseau,Minnesota,09-21-2022,Commercial Turkey Meat Bird,116000,MN,27135,-95.81112475,48.77485638
Weld,Colorado,09-21-2022,Commercial Table Egg Layer,1150000,CO,8123,-104.3930144,40.55487277
Otter Tail,Minnesota,09-21-2022,Commercial Turkey Meat Bird,5900,MN,27111,-95.70748857,46.4090783
Stearns,Minnesota,09-20-2022,Commercial Turkey Meat Bird,64600,MN,27145,-94.61299658,45.55199481
Washington,Pennsylvania,09-20-2022,WOAH Poultry,1800,PA,42125,-80.24855447,40.18935898
Fresno,California,09-20-2022,WOAH Non-Poultry,100,CA,6019,-119.6506833,36.75807672
Clark,South Dakota,09-20-2022,Commercial Turkey Meat Bird,23900,SD,46025,-97.72949102,44.8584651
Brown,Minnesota,09-20-2022,Commercial Turkey Meat Bird,43000,MN,27015,-94.727558,44.24201356
Clark,South Dakota,09-20-2022,Commercial Turkey Meat Bird,41700,SD,46025,-97.72949102,44.8584651
Sanpete,Utah,09-20-2022,Commercial Turkey Meat Bird,73200,UT,49039,-111.5763852,39.37372605
Macomb,Michigan,09-19-2022,WOAH Non-Poultry,40,MI,26099,-82.93255517,42.69584067
Dawes,Nebraska,09-19-2022,WOAH Non-Poultry,40,NE,31045,-103.1354423,42.72007965
Orange,Florida,09-18-2024,Live Bird Market,2500,FL,12095,-81.32311592,28.51429239
Merced,California,09-18-2024,Commercial Turkey Meat Bird,64800,CA,6047,-120.7175058,37.19189197
Pierce,Washington,09-16-2022,WOAH Non-Poultry,30,WA,53053,-122.1122121,47.02680625
Union,New Jersey,09-15-2023,Live Bird Market,520,NJ,34039,-74.30721513,40.65928966
Obion,Tennessee,09-15-2022,WOAH Poultry,130,TN,47131,-89.1487146,36.35824874
Bristol,Massachusetts,09-15-2022,WOAH Non-Poultry,50,MA,25005,-71.11419448,41.79709525
Teton,Montana,09-15-2022,WOAH Poultry,2800,MT,30099,-112.2407056,47.83722455
Fresno,California,09-15-2022,Commercial Broiler Breeder,15900,CA,6019,-119.6506833,36.75807672
Summit,Ohio,09-15-2022,WOAH Non-Poultry,6,OH,39153,-81.53219101,41.12587569
Williams,Ohio,09-14-2022,WOAH Non-Poultry,60,OH,39171,-84.58816167,41.56027968
Otter Tail,Minnesota,09-14-2022,Commercial Turkey Breeder Hens,7900,MN,27111,-95.70748857,46.4090783
Isanti,Minnesota,09-14-2022,WOAH Non-Poultry,4,MN,27059,-93.29470209,45.56125565
Meeker,Minnesota,09-14-2022,Commercial Turkey Meat Bird,61400,MN,27093,-94.52871063,45.12332877
Allen,Ohio,09-14-2022,WOAH Non-Poultry,2,OH,39003,-84.10584177,40.77151716
Stearns,Minnesota,09-13-2022,Commercial Turkey Meat Bird,69400,MN,27145,-94.61299658,45.55199481
Brown,Minnesota,09-13-2022,Commercial Turkey Meat Bird,43700,MN,27015,-94.727558,44.24201356
Sanpete,Utah,09-13-2022,Commercial Turkey Meat Bird,5800,UT,49039,-111.5763852,39.37372605
Freeborn,Minnesota,09-13-2022,WOAH Non-Poultry,320,MN,27047,-93.3488462,43.67383179
Ingham,Michigan,09-13-2022,WOAH Poultry,20,MI,26065,-84.37346607,42.59737278
Twin Falls,Idaho,09-12-2022,WOAH Non-Poultry,40,ID,16083,-114.6681729,42.35608428
Fresno,California,09-09-2022,Commercial Broiler Breeder,23900,CA,6019,-119.6506833,36.75807672
Becker,Minnesota,09-09-2022,Commercial Turkey Breeder Hens,17100,MN,27005,-95.67483556,46.93523736
El Dorado,California,09-09-2022,WOAH Non-Poultry,150,CA,6017,-120.5247066,38.77888901
Meeker,Minnesota,09-08-2022,Commercial Turkey Meat Bird,34200,MN,27093,-94.52871063,45.12332877
Morrison,Minnesota,09-07-2022,Commercial Turkey Meat Bird,50200,MN,27097,-94.26690418,46.01207437
Defiance,Ohio,09-03-2022,Commercial Table Egg Layer,3748500,OH,39039,-84.49071987,41.3239854
Ashland,Ohio,09-03-2022,WOAH Non-Poultry,640,OH,39005,-82.27061922,40.84592901
Washington,Wisconsin,09-02-2022,WOAH Poultry,120,WI,55131,-88.23041319,43.36887792
Sacramento,California,09-01-2022,WOAH Non-Poultry,20,CA,6067,-121.3445212,38.44881725
Elkhart,Indiana,09-01-2022,WOAH Poultry,260,IN,18039,-85.85885682,41.59771704
Cass,North Dakota,09-01-2022,WOAH Non-Poultry,6,ND,38017,-97.24822334,46.93292237
Hennepin,Minnesota,09-01-2022,WOAH Non-Poultry,10,MN,27053,-93.47715121,45.00479678
Fresno,California,09-01-2022,Commercial Broiler Breeder,22900,CA,6019,-119.6506833,36.75807672
Tuolumne,California,09-01-2022,Commercial Turkey Meat Bird,30800,CA,6109,-119.9551317,38.02748982
Tuolumne,California,08-30-2022,Commercial Turkey Meat Bird,91000,CA,6109,-119.9551317,38.02748982
Sacramento,California,08-30-2022,Commercial Turkey Meat Bird,97000,CA,6067,-121.3445212,38.44881725
Tuolumne,California,08-30-2022,Commercial Turkey Meat Bird,7400,CA,6109,-119.9551317,38.02748982
Meeker,Minnesota,08-30-2022,Commercial Turkey Meat Bird,52000,MN,27093,-94.52871063,45.12332877
Meeker,Minnesota,08-30-2022,Commercial Turkey Meat Bird,126400,MN,27093,-94.52871063,45.12332877
Caroline,Virginia,08-29-2022,WOAH Non-Poultry,110,VA,51033,-77.34662195,38.02701807
Fresno,California,08-26-2022,Commercial Broiler Breeder,34800,CA,6019,-119.6506833,36.75807672
Tuolumne,California,08-26-2022,Commercial Turkey Meat Bird,161700,CA,6109,-119.9551317,38.02748982
Cowlitz,Washington,08-26-2022,WOAH Non-Poultry,20,WA,53015,-122.6802732,46.19321499
Pierce,Washington,08-25-2022,WOAH Non-Poultry,70,WA,53053,-122.1122121,47.02680625
Weber,Utah,08-24-2022,WOAH Non-Poultry,20,UT,49057,-111.9127797,41.27005573
Contra Costa,California,08-23-2022,WOAH Non-Poultry,60,CA,6013,-121.9281273,37.91933375
Fresno,California,08-22-2022,Commercial Broiler Breeder,33900,CA,6019,-119.6506833,36.75807672
Henry,Georgia,08-22-2022,WOAH Non-Poultry,80,GA,13151,-84.15307775,33.45278905
Hillsborough,Florida,08-20-2024,Live Bird Market,880,FL,12057,-82.30867294,27.92948052
Kitsap,Washington,08-19-2022,WOAH Non-Poultry,10,WA,53035,-122.6734022,47.61342417
Walla Walla,Washington,08-18-2022,WOAH Non-Poultry,2,WA,53071,-118.4785331,46.22968278
Osceola,Florida,08-16-2022,WOAH Non-Poultry,10,FL,12097,-81.14924253,28.06245875
Butte,California,08-16-2022,WOAH Non-Poultry,1100,CA,6007,-121.6008508,39.66681952
Northampton,Pennsylvania,08-11-2022,WOAH Poultry,90,PA,42095,-75.30735363,40.75446063
Sacramento,California,08-10-2022,WOAH Non-Poultry,40,CA,6067,-121.3445212,38.44881725
Miami-dade,Florida,08-05-2024,WOAH Poultry,5400,FL,,,
Kings,New York,08-03-2023,Live Bird Market,800,NY,36047,-73.93708255,40.63562226
Bethel,Alaska,08-02-2022,WOAH Non-Poultry,20,AK,,,
Kings,New York,07-28-2023,Live Bird Market,490,NY,36047,-73.93708255,40.63562226
Coos,Oregon,07-28-2022,WOAH Non-Poultry,20,OR,41011,-124.0595871,43.17396579
Sanpete,Utah,07-26-2022,Commercial Turkey Meat Bird,12700,UT,49039,-111.5763852,39.37372605
Flathead,Montana,07-26-2022,WOAH Non-Poultry,7,MT,30029,-114.0497122,48.29520088
Jefferson,Washington,07-26-2022,WOAH Non-Poultry,80,WA,53031,-123.5935915,47.7490129
Kings,New York,07-25-2023,Live Bird Market,570,NY,36047,-73.93708255,40.63562226
Hendry,Florida,07-24-2024,WOAH Non-Poultry,5,FL,12051,-81.16511547,26.55374425
Deschutes,Oregon,07-22-2022,WOAH Non-Poultry,120,OR,41017,-121.227881,43.91469217
Deschutes,Oregon,07-22-2022,WOAH Non-Poultry,90,OR,41017,-121.227881,43.91469217
Deschutes,Oregon,07-21-2022,WOAH Poultry,60,OR,41017,-121.227881,43.91469217
Seminole,Florida,07-21-2022,WOAH Non-Poultry,160,FL,12117,-81.23634611,28.71682625
Miami-dade,Florida,07-19-2024,Live Bird Market,80,FL,,,
Miami-dade,Florida,07-19-2024,Live Bird Market,320,FL,,,
Miami-dade,Florida,07-19-2024,Live Bird Market,390,FL,,,
Weld,Colorado,07-19-2024,Commercial Table Egg Pullets,300800,CO,8123,-104.3930144,40.55487277
Sanpete,Utah,07-19-2022,Commercial Turkey Meat Bird,23300,UT,49039,-111.5763852,39.37372605
Deschutes,Oregon,07-19-2022,WOAH Poultry,100,OR,41017,-121.227881,43.91469217
Snohomish,Washington,07-19-2022,WOAH Poultry,340,WA,53061,-121.6977603,48.04772437
Weld,Colorado,07-16-2024,Commercial Table Egg Layer,1313800,CO,8123,-104.3930144,40.55487277
Deschutes,Oregon,07-15-2022,WOAH Poultry,60,OR,41017,-121.227881,43.91469217
Sanpete,Utah,07-14-2022,Commercial Turkey Meat Bird,15500,UT,49039,-111.5763852,39.37372605
Deschutes,Oregon,07-12-2022,WOAH Poultry,100,OR,41017,-121.227881,43.91469217
Twin Falls,Idaho,07-11-2024,WOAH Non-Poultry,30,ID,16083,-114.6681729,42.35608428
Kandiyohi,Minnesota,07-09-2024,Commercial Turkey Breeder Toms,4200,MN,27067,-95.00576302,45.15252304
Renville,Minnesota,07-09-2024,Commercial Turkey Breeder Hens,15400,MN,27129,-94.94679511,44.72672673
Kandiyohi,Minnesota,07-09-2024,Commercial Turkey Breeder Hens,21900,MN,27067,-95.00576302,45.15252304
Weld,Colorado,07-08-2024,Commercial Table Egg Layer,1790800,CO,8123,-104.3930144,40.55487277
Carson City,Nevada,07-07-2022,WOAH Non-Poultry,40,NV,32510,-119.7473502,39.15108405
Linn,Oregon,07-06-2022,WOAH Non-Poultry,40,OR,41043,-122.5341835,44.48880768
Jefferson,Washington,07-06-2022,WOAH Non-Poultry,20,WA,53031,-123.5935915,47.7490129
Salt Lake,Utah,07-01-2022,WOAH Non-Poultry,20,UT,49035,-111.9241028,40.66728813
Kitsap,Washington,07-01-2022,WOAH Non-Poultry,6,WA,53035,-122.6734022,47.61342417
King,Washington,07-01-2022,WOAH Poultry,220,WA,53033,-121.8063614,47.49034831
Cumberland,Maine,06-29-2022,WOAH Non-Poultry,20,ME,23005,-70.37661287,43.83897334
Yakima,Washington,06-29-2022,WOAH Non-Poultry,6,WA,53077,-120.7387387,46.45687521
Morgan,Colorado,06-27-2024,WOAH Non-Poultry,40,CO,8087,-103.8102221,40.26279879
Otter Tail,Minnesota,06-27-2024,Commercial Turkey Meat Bird,67400,MN,27111,-95.70748857,46.4090783
Swift,Minnesota,06-27-2024,Commercial Turkey Meat Bird,25300,MN,27151,-95.68142474,45.28288933
Larimer,Colorado,06-26-2024,WOAH Non-Poultry,10,CO,8069,-105.4615545,40.6665145
Stearns,Minnesota,06-24-2024,WOAH Non-Poultry,310,MN,27145,-94.61299658,45.55199481
Pierce,Washington,06-24-2022,WOAH Non-Poultry,50,WA,53053,-122.1122121,47.02680625
King,Washington,06-22-2022,WOAH Non-Poultry,3,WA,53033,-121.8063614,47.49034831
Yakima,Washington,06-22-2022,WOAH Non-Poultry,90,WA,53077,-120.7387387,46.45687521
King,Washington,06-22-2022,WOAH Non-Poultry,9,WA,53033,-121.8063614,47.49034831
Snohomish,Washington,06-22-2022,WOAH Non-Poultry,200,WA,53061,-121.6977603,48.04772437
Sac,Iowa,06-21-2024,Commercial Turkey Meat Bird,46100,IA,19161,-95.10547892,42.38624071
Pipestone,Minnesota,06-18-2024,Commercial Turkey Meat Bird,70800,MN,27117,-96.258643,44.02300689
Swift,Minnesota,06-18-2024,Commercial Turkey Meat Bird,113600,MN,27151,-95.68142474,45.28288933
Yakima,Washington,06-14-2022,WOAH Non-Poultry,30,WA,53077,-120.7387387,46.45687521
Stearns,Minnesota,06-13-2024,Commercial Turkey Meat Bird,32900,MN,27145,-94.61299658,45.55199481
Salt Lake,Utah,06-13-2022,WOAH Non-Poultry,70,UT,49035,-111.9241028,40.66728813
Lyon,Minnesota,06-12-2024,Commercial Turkey Meat Bird,89500,MN,27083,-95.83918761,44.41338502
Jerome,Idaho,06-10-2024,WOAH Non-Poultry,30,ID,16053,-114.2642648,42.68974614
Weld,Colorado,06-09-2022,Commercial Table Egg Pullets,205000,CO,8123,-104.3930144,40.55487277
Snohomish,Washington,06-09-2022,WOAH Non-Poultry,9,WA,53061,-121.6977603,48.04772437
Yakima,Washington,06-09-2022,WOAH Non-Poultry,70,WA,53077,-120.7387387,46.45687521
Allen,Indiana,06-09-2022,WOAH Non-Poultry,40,IN,18003,-85.06652248,41.0912565
Snohomish,Washington,06-09-2022,WOAH Non-Poultry,30,WA,53061,-121.6977603,48.04772437
Polk,Oregon,06-08-2022,WOAH Non-Poultry,90,OR,41053,-123.4132525,44.90338514
Allen,Indiana,06-07-2022,WOAH Poultry,110,IN,18003,-85.06652248,41.0912565
Weld,Colorado,06-07-2022,Commercial Table Egg Layer,1936800,CO,8123,-104.3930144,40.55487277
King,Washington,06-07-2022,WOAH Poultry,50,WA,53033,-121.8063614,47.49034831
Mchenry,North Dakota,06-06-2022,WOAH Poultry,30,ND,,,
Cherokee,Iowa,06-03-2024,Commercial Turkey Meat Bird,100000,IA,19035,-95.62389402,42.73538914
Berks,Pennsylvania,06-02-2022,Commercial Duck Meat Bird,30100,PA,42011,-75.92604322,40.41644424
Snohomish,Washington,06-02-2022,WOAH Non-Poultry,30,WA,53061,-121.6977603,48.04772437
Toombs,Georgia,06-01-2022,WOAH Non-Poultry,490,GA,13279,-82.33096121,32.12156708
Richland,South Carolina,05-31-2024,WOAH Non-Poultry,30,SC,45079,-80.90384361,34.02226754
Stearns,Minnesota,05-31-2024,Commercial Turkey Meat Bird,43000,MN,27145,-94.61299658,45.55199481
Becker,Minnesota,05-31-2022,WOAH Non-Poultry,40,MN,27005,-95.67483556,46.93523736
Stearns,Minnesota,05-29-2024,Commercial Turkey Meat Bird,32400,MN,27145,-94.61299658,45.55199481
Sioux,Iowa,05-28-2024,Commercial Table Egg Layer,4287400,IA,19167,-96.17809424,43.08294203
Snohomish,Washington,05-27-2022,WOAH Non-Poultry,40,WA,53061,-121.6977603,48.04772437
King,Washington,05-25-2022,WOAH Non-Poultry,20,WA,53033,-121.8063614,47.49034831
Ada,Idaho,05-24-2022,WOAH Non-Poultry,30,ID,16001,-116.241035,43.45084054
King,Washington,05-24-2022,WOAH Non-Poultry,7,WA,53033,-121.8063614,47.49034831
King,Washington,05-24-2022,WOAH Non-Poultry,180,WA,53033,-121.8063614,47.49034831
Bayfield,Wisconsin,05-23-2022,WOAH Non-Poultry,40,WI,55007,-91.20077484,46.52418284
Berks,Pennsylvania,05-23-2022,Commercial Duck Breeder,4700,PA,42011,-75.92604322,40.41644424
Stearns,Minnesota,05-21-2024,Commercial Turkey Meat Bird,7000,MN,27145,-94.61299658,45.55199481
Stearns,Minnesota,05-21-2024,Commercial Turkey Breeder Hens,6800,MN,27145,-94.61299658,45.55199481
Stearns,Minnesota,05-21-2024,Commercial Turkey Meat Bird,17100,MN,27145,-94.61299658,45.55199481
Meeker,Minnesota,05-21-2024,Commercial Table Egg Layer,1368800,MN,27093,-94.52871063,45.12332877
Morrison,Minnesota,05-21-2024,Commercial Turkey Meat Bird,51900,MN,27097,-94.26690418,46.01207437
Dakota,Minnesota,05-21-2022,Commercial Turkey Meat Bird,54400,MN,27037,-93.06556878,44.67245057
Jerome,Idaho,05-20-2024,WOAH Poultry,80,ID,16053,-114.2642648,42.68974614
Codington,South Dakota,05-20-2022,WOAH Poultry,80,SD,46029,-97.18860384,44.97790512
Ada,Idaho,05-20-2022,WOAH Non-Poultry,7,ID,16001,-116.241035,43.45084054
Campbell,Wyoming,05-20-2022,WOAH Non-Poultry,30,WY,56005,-105.5484733,44.24806602
Polk,Minnesota,05-20-2022,WOAH Non-Poultry,50,MN,27119,-96.40222842,47.77395991
Ada,Idaho,05-19-2022,WOAH Non-Poultry,30,ID,16001,-116.241035,43.45084054
Canyon,Idaho,05-19-2022,WOAH Non-Poultry,10,ID,16027,-116.7092162,43.6251769
Canyon,Idaho,05-19-2022,WOAH Non-Poultry,10,ID,16027,-116.7092162,43.6251769
Allen,Indiana,05-19-2022,WOAH Non-Poultry,7,IN,18003,-85.06652248,41.0912565
Jefferson,Colorado,05-19-2022,WOAH Non-Poultry,10,CO,8059,-105.2504738,39.58646067
Ada,Idaho,05-19-2022,WOAH Poultry,70,ID,16001,-116.241035,43.45084054
Rowan,North Carolina,05-18-2023,WOAH Non-Poultry,30,NC,37159,-80.52501519,35.64030608
Phelps,Missouri,05-18-2023,WOAH Non-Poultry,80,MO,29161,-91.79238502,37.87731447
Canyon,Idaho,05-18-2022,WOAH Poultry,6,ID,16027,-116.7092162,43.6251769
Ada,Idaho,05-18-2022,WOAH Non-Poultry,6,ID,16001,-116.241035,43.45084054
Berks,Pennsylvania,05-18-2022,Commercial Duck Breeder,7200,PA,42011,-75.92604322,40.41644424
Canyon,Idaho,05-18-2022,WOAH Non-Poultry,10,ID,16027,-116.7092162,43.6251769
Canyon,Idaho,05-18-2022,WOAH Poultry,160,ID,16027,-116.7092162,43.6251769
Clay,Minnesota,05-18-2022,WOAH Non-Poultry,20,MN,27027,-96.49066248,46.89214202
Kandiyohi,Minnesota,05-18-2022,Commercial Turkey Breeder Toms,4700,MN,27067,-95.00576302,45.15252304
Ada,Idaho,05-17-2022,WOAH Poultry,9,ID,16001,-116.241035,43.45084054
Lane,Oregon,05-17-2022,WOAH Poultry,450,OR,41039,-122.8473327,43.93889441
Canyon,Idaho,05-17-2022,WOAH Poultry,30,ID,16027,-116.7092162,43.6251769
Burke,North Dakota,05-17-2022,WOAH Non-Poultry,50,ND,38013,-102.5181759,48.79096757
Boone,Illinois,05-17-2022,WOAH Non-Poultry,20,IL,17007,-88.82348512,42.32294195
Salt Lake,Utah,05-17-2022,WOAH Non-Poultry,30,UT,49035,-111.9241028,40.66728813
Thurston,Washington,05-17-2022,WOAH Non-Poultry,410,WA,53067,-122.8330654,46.92672896
Canyon,Idaho,05-17-2022,WOAH Poultry,30,ID,16027,-116.7092162,43.6251769
Berks,Pennsylvania,05-17-2022,Commercial Table Egg Layer,79000,PA,42011,-75.92604322,40.41644424
Monmouth,New Jersey,05-17-2022,WOAH Poultry,60,NJ,34025,-74.22051128,40.2606812
Canyon,Idaho,05-17-2022,WOAH Non-Poultry,50,ID,16027,-116.7092162,43.6251769
Ada,Idaho,05-17-2022,WOAH Non-Poultry,20,ID,16001,-116.241035,43.45084054
Dunn,Wisconsin,05-16-2022,WOAH Non-Poultry,150,WI,55033,-91.89653391,44.94674851
Berks,Pennsylvania,05-14-2022,Commercial Table Egg Breeder,83700,PA,42011,-75.92604322,40.41644424
Barron,Wisconsin,05-13-2022,Commercial Turkey Meat Bird,10500,WI,55005,-91.84833604,45.42372695
Sheridan,Wyoming,05-13-2022,WOAH Non-Poultry,20,WY,56033,-106.8799546,44.79068012
Canyon,Idaho,05-13-2022,WOAH Non-Poultry,9,ID,16027,-116.7092162,43.6251769
Lincoln,Wyoming,05-13-2022,WOAH Non-Poultry,40,WY,56023,-110.656067,42.26409375
Marinette,Wisconsin,05-13-2022,WOAH Non-Poultry,90,WI,55075,-88.03335785,45.38289899
Ada,Idaho,05-13-2022,WOAH Non-Poultry,60,ID,16001,-116.241035,43.45084054
Chisago,Minnesota,05-12-2022,WOAH Non-Poultry,40,MN,27025,-92.90829767,45.5024111
Ada,Idaho,05-12-2022,WOAH Non-Poultry,10,ID,16001,-116.241035,43.45084054
Whatcom,Washington,05-12-2022,WOAH Non-Poultry,80,WA,53073,-121.7209525,48.82595321
Grant,Minnesota,05-12-2022,WOAH Non-Poultry,310,MN,27051,-96.01216405,45.93402352
Okanogan,Washington,05-12-2022,WOAH Non-Poultry,20,WA,53047,-119.7406032,48.54862984
Nobles,Minnesota,05-11-2023,WOAH Non-Poultry,100,MN,27105,-95.75326093,43.67428858
Clallam,Washington,05-11-2022,WOAH Non-Poultry,10,WA,53009,-123.9277111,48.04911666
Ada,Idaho,05-11-2022,WOAH Non-Poultry,4,ID,16001,-116.241035,43.45084054
Pierce,Washington,05-11-2022,WOAH Non-Poultry,20,WA,53053,-122.1122121,47.02680625
Cache,Utah,05-11-2022,WOAH Non-Poultry,20,UT,49005,-111.743741,41.72255404
Chisago,Minnesota,05-11-2022,WOAH Poultry,160,MN,27025,-92.90829767,45.5024111
Clallam,Washington,05-11-2022,WOAH Non-Poultry,10,WA,53009,-123.9277111,48.04911666
Jerome,Idaho,05-10-2024,WOAH Poultry,1100,ID,16053,-114.2642648,42.68974614
Jerome,Idaho,05-10-2024,WOAH Non-Poultry,20,ID,16053,-114.2642648,42.68974614
