County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
Fresno,California,11-14-2024,Commercial Turkey Meat Bird,39600,CA,6019,-119.6506833,36.75807672
Fresno,California,11-14-2024,Commercial Turkey Meat Bird,17700,CA,6019,-119.6506833,36.75807672
Fresno,California,11-14-2024,Commercial Turkey Meat Bird,17500,CA,6019,-119.6506833,36.75807672
Kings,California,11-14-2024,Commercial Broiler Production,53300,CA,6031,-119.8151995,36.07520008
Kings,California,11-14-2024,WOAH Non-Poultry,8,CA,6031,-119.8151995,36.07520008
Merced,California,11-14-2024,Commercial Turkey Meat Bird,53200,CA,6047,-120.7175058,37.19189197
Kings,California,11-14-2024,Commercial Broiler Production,279300,CA,6031,-119.8151995,36.07520008
Weld,Colorado,11-14-2024,WOAH Non-Poultry,80,CO,8123,-104.3930144,40.55487277
San Joaquin,California,11-14-2024,Commercial Broiler Production,29100,CA,6077,-121.2712102,37.9345275
Jones,Iowa,11-14-2023,WOAH Non-Poultry,20,IA,19105,-91.13139641,42.12118609
Marion,Oregon,11-14-2023,WOAH Non-Poultry,5,OR,41047,-122.5849114,44.90322354
Ellis,Texas,11-14-2023,WOAH Non-Poultry,50,TX,48139,-96.79470819,32.34880007
Kossuth,Iowa,11-14-2023,WOAH Poultry,13000,IA,19109,-94.20689787,43.20413984
Redwood,Minnesota,11-14-2023,Commercial Turkey Meat Bird,18700,MN,27127,-95.25398841,44.40365018
Deschutes,Oregon,11-14-2023,WOAH Non-Poultry,30,OR,41017,-121.227881,43.91469217
Cerro Gordo,Iowa,11-14-2023,WOAH Non-Poultry,80,IA,19033,-93.2612239,43.08177563
Kandiyohi,Minnesota,11-14-2023,Commercial Turkey Meat Bird,35600,MN,27067,-95.00576302,45.15252304
Missoula,Montana,11-14-2023,WOAH Non-Poultry,4,MT,30063,-113.9237814,47.03651185
Taylor,Iowa,11-14-2023,Commercial Table Egg Layer,1121100,IA,19173,-94.69599224,40.73748072
Jasper,Missouri,11-14-2023,Commercial Turkey Meat Bird,29300,MO,29097,-94.34047486,37.20351967
Lowndes,Mississippi,11-14-2022,WOAH Non-Poultry,8,MS,28087,-88.4432447,33.47293459
Pinal,Arizona,11-13-2024,Commercial Table Egg Layer,829200,AZ,4021,-111.34488,32.90415087
Malheur,Oregon,11-13-2024,WOAH Non-Poultry,8,OR,41045,-117.6231067,43.19355699
Montrose,Colorado,11-13-2023,WOAH Non-Poultry,50,CO,8085,-108.2688129,38.4024194
Bonneville,Idaho,11-13-2023,WOAH Non-Poultry,50,ID,16019,-111.6147928,43.38792191
Mcintosh,North Dakota,11-13-2023,WOAH Non-Poultry,50,ND,,,
Fresno,California,11-12-2024,Commercial Turkey Meat Bird,34800,CA,6019,-119.6506833,36.75807672
Kern,California,11-12-2024,Commercial Table Egg Layer,2155100,CA,6029,-118.72959,35.34292819
Fresno,California,11-12-2024,Commercial Broiler Production,237700,CA,6019,-119.6506833,36.75807672
Piute,Utah,11-12-2024,Commercial Turkey Meat Bird,37500,UT,49031,-112.1276059,38.336223
Tulare,California,11-12-2024,WOAH Non-Poultry,120,CA,6107,-118.8004216,36.22081997
Missoula,Montana,11-12-2024,WOAH Poultry,280,MT,30063,-113.9237814,47.03651185
Queens,New York,11-12-2022,Live Bird Market,170,NY,36081,-73.81734511,40.70829859
Ward,North Dakota,11-10-2022,WOAH Poultry,20,ND,38101,-101.541865,48.22179884
Lapeer,Michigan,11-10-2022,WOAH Poultry,990,MI,26087,-83.22153148,43.09052506
Lehigh,Pennsylvania,11-10-2022,Commercial Turkey Meat Bird,18500,PA,42077,-75.59214444,40.61280627
Lehigh,Pennsylvania,11-10-2022,Commercial Turkey Breeder Toms,160,PA,42077,-75.59214444,40.61280627
Mountrail,North Dakota,11-10-2022,WOAH Non-Poultry,40,ND,38061,-102.3557043,48.20129569
Redwood,Minnesota,11-09-2023,Commercial Turkey Meat Bird,18500,MN,27127,-95.25398841,44.40365018
Roberts,South Dakota,11-09-2023,Commercial Turkey Meat Bird,51200,SD,46109,-96.94614272,45.62977349
Sweet Grass,Montana,11-09-2023,WOAH Non-Poultry,3,MT,30097,-109.939664,45.813756
Mcpherson,South Dakota,11-09-2023,Commercial Turkey Meat Bird,58400,SD,,,
Steele,Minnesota,11-09-2023,Commercial Turkey Meat Bird,46900,MN,27147,-93.22627088,44.02240351
Wheatland,Montana,11-09-2023,WOAH Poultry,4500,MT,30107,-109.8444012,46.46630385
Utah,Utah,11-08-2023,WOAH Non-Poultry,60,UT,49049,-111.670284,40.11980262
Charles Mix,South Dakota,11-08-2023,Commercial Turkey Meat Bird,74100,SD,46023,-98.58785039,43.20792726
Matanuska Susitna,Alaska,11-08-2023,WOAH Non-Poultry,40,AK,,,
Kossuth,Iowa,11-08-2023,WOAH Poultry,8200,IA,19109,-94.20689787,43.20413984
Clark,South Dakota,11-08-2023,Commercial Upland Gamebird Producer,8500,SD,46025,-97.72949102,44.8584651
Louisa,Iowa,11-08-2022,WOAH Non-Poultry,20,IA,19115,-91.25958262,41.21843405
Lehigh,Pennsylvania,11-08-2022,Commercial Turkey Breeder Hens,7500,PA,42077,-75.59214444,40.61280627
Snohomish,Washington,11-08-2022,WOAH Non-Poultry,150,WA,53061,-121.6977603,48.04772437
Lehigh,Pennsylvania,11-08-2022,Commercial Turkey Meat Bird,17400,PA,42077,-75.59214444,40.61280627
Snohomish,Washington,11-07-2024,WOAH Non-Poultry,170,WA,53061,-121.6977603,48.04772437
Stearns,Minnesota,11-07-2023,Commercial Turkey Meat Bird,70900,MN,27145,-94.61299658,45.55199481
Converse,Wyoming,11-07-2022,WOAH Non-Poultry,20,WY,56009,-105.5077277,42.9722826
Gloucester,Virginia,11-07-2022,WOAH Non-Poultry,80,VA,51073,-76.54142204,37.41403941
Butler,Ohio,11-07-2022,WOAH Poultry,150,OH,39017,-84.57607723,39.43897921
Jefferson,Wisconsin,11-07-2022,Commercial Upland Gamebird Producer,187900,WI,55055,-88.77532763,43.02053192
