,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
171,Jewell,Kansas,2024-12-10,WOAH Non-Poultry,40,KS,20089,-98.21822331,39.7847206
172,Charles Mix,South Dakota,2024-12-10,Commercial Turkey Meat Bird,32400,SD,46023,-98.58785039,43.20792726
173,Jefferson,Idaho,2024-12-10,WOAH Non-Poultry,60,ID,16051,-112.3114205,43.82027224
174,Stanislaus,California,2024-12-10,Commercial Duck Breeder,82600,CA,6099,-120.9979524,37.55851635
175,Franklin,Idaho,2024-12-10,WOAH Non-Poultry,40,ID,16041,-111.8131009,42.18121994
176,La Plata,Colorado,2024-12-10,WOAH Non-Poultry,20,CO,8067,-107.843327,37.28655123
177,Cedar,Missouri,2024-12-10,WOAH Non-Poultry,20,MO,29039,-93.85592541,37.72350148
178,Beadle,South Dakota,2024-12-10,Commercial Turkey Meat Bird,52200,SD,46005,-98.27883711,44.41467039
179,Beadle,South Dakota,2024-12-09,Commercial Turkey Meat Bird,50600,SD,46005,-98.27883711,44.41467039
180,Kern,California,2024-12-09,WOAH Poultry,45400,CA,6029,-118.72959,35.34292819
181,Hutchinson,South Dakota,2024-12-09,Commercial Turkey Meat Bird,42800,SD,46067,-97.75456287,43.33466314
182,Lafayette,Arkansas,2024-12-09,WOAH Non-Poultry,40,AR,5073,-93.60684679,33.24091819
183,Clackamas,Oregon,2022-12-09,WOAH Non-Poultry,60,OR,41005,-122.2205544,45.18820387
184,Onslow,North Carolina,2022-12-09,WOAH Non-Poultry,60,NC,37133,-77.42736897,34.72975141
185,Polk,Oregon,2022-12-09,WOAH Non-Poultry,70,OR,41053,-123.4132525,44.90338514
186,Prowers,Colorado,2022-12-09,Commercial Upland Gamebird Producer,11000,CO,8099,-102.3932762,37.95519022
187,Osage,Missouri,2022-12-09,Commercial Turkey Meat Bird,19700,MO,29151,-91.86178101,38.46015852
188,Barron,Wisconsin,2023-12-08,Commercial Turkey Meat Bird,70000,WI,55005,-91.84833604,45.42372695
189,Mills,Iowa,2023-12-08,WOAH Non-Poultry,10,IA,19129,-95.62136125,41.03348848
190,Charles Mix,South Dakota,2023-12-08,Commercial Turkey Meat Bird,32400,SD,46023,-98.58785039,43.20792726
191,Barton,Kansas,2023-12-08,WOAH Non-Poultry,30,KS,20009,-98.75632156,38.478934
192,Dodge,Minnesota,2022-12-08,Commercial Turkey Meat Bird,10000,MN,27039,-92.86236786,44.02229546
193,Hamlin,South Dakota,2022-12-08,Commercial Turkey Meat Bird,58100,SD,46057,-97.18829593,44.67385954
194,Dade,Missouri,2022-12-08,WOAH Non-Poultry,30,MO,29057,-93.8503345,37.431814
195,Stanislaus,California,2023-12-07,Commercial Broiler Production,258600,CA,6099,-120.9979524,37.55851635
196,Orleans,Vermont,2023-12-07,WOAH Non-Poultry,40,VT,50019,-72.24360335,44.82900254
197,Carroll,Arkansas,2023-12-07,Commercial Turkey Meat Bird,33300,AR,5015,-93.53832319,36.34107901
198,Sonoma,California,2023-12-07,Commercial Duck Meat Bird,4900,CA,6097,-122.8872965,38.52842052
199,Montmorency,Michigan,2023-12-07,WOAH Poultry,100,MI,26119,-84.12740152,45.02758285
200,Hardin,Ohio,2023-12-07,Commercial Table Egg Layer,2613600,OH,39065,-83.65939867,40.66129428
201,Darke,Ohio,2023-12-07,Commercial Turkey Meat Bird,15200,OH,39037,-84.61945793,40.13381861
202,Sac,Iowa,2022-12-07,Commercial Turkey Meat Bird,40000,IA,19161,-95.10547892,42.38624071
203,Cherokee,Iowa,2022-12-07,Commercial Turkey Meat Bird,105000,IA,19035,-95.62389402,42.73538914
204,Kingsbury,South Dakota,2022-12-07,WOAH Non-Poultry,70,SD,46077,-97.4913945,44.36956169
205,Nemaha,Nebraska,2024-12-06,Commercial Turkey Breeder Hens,12400,NE,31127,-95.84990553,40.38784773
206,Washakie,Wyoming,2024-12-06,WOAH Non-Poultry,20,WY,56043,-107.6823145,43.90437841
207,Sioux,Iowa,2024-12-06,Commercial Table Egg Layer,4200000,IA,19167,-96.17809424,43.08294203
208,Stanislaus,California,2024-12-06,WOAH Poultry,44100,CA,6099,-120.9979524,37.55851635
209,Pitkin,Colorado,2024-12-06,WOAH Non-Poultry,50,CO,8097,-106.9159345,39.21732141
210,Bon Homme,South Dakota,2023-12-06,Commercial Turkey Meat Bird,47600,SD,46009,-97.88493814,42.98827986
211,Sonoma,California,2023-12-06,Commercial Table Egg Layer,232000,CA,6097,-122.8872965,38.52842052
212,Becker,Minnesota,2023-12-06,Commercial Breeder Operation,20600,MN,27005,-95.67483556,46.93523736
213,Hamlin,South Dakota,2023-12-06,Commercial Turkey Meat Bird,56200,SD,46057,-97.18829593,44.67385954
214,Todd,Minnesota,2023-12-06,Commercial Turkey Meat Bird,64000,MN,27153,-94.89728962,46.07014445
215,Denton,Texas,2022-12-06,WOAH Non-Poultry,40,TX,48121,-97.11685878,33.20528167
216,Larimer,Colorado,2022-12-06,WOAH Non-Poultry,2,CO,8069,-105.4615545,40.6665145
217,Pawnee,Oklahoma,2022-12-06,WOAH Non-Poultry,30,OK,40117,-96.69954973,36.31680135
218,Lamoille,Vermont,2022-12-06,WOAH Non-Poultry,50,VT,50015,-72.641331,44.60594136
219,Harrison,Missouri,2022-12-06,WOAH Non-Poultry,30,MO,29081,-93.99193402,40.35497608
220,Merced,California,2024-12-05,Commercial Table Egg Layer,306100,CA,6047,-120.7175058,37.19189197
221,Merced,California,2024-12-05,Commercial Table Egg Layer,793700,CA,6047,-120.7175058,37.19189197
222,Merced,California,2024-12-05,Commercial Table Egg Layer,1723800,CA,6047,-120.7175058,37.19189197
223,San Joaquin,California,2024-12-05,Commercial Duck Meat Bird,13000,CA,6077,-121.2712102,37.9345275
224,Stanislaus,California,2023-12-05,Commercial Broiler Production,254400,CA,6099,-120.9979524,37.55851635
225,Shawnee,Kansas,2023-12-05,WOAH Non-Poultry,70,KS,20177,-95.75652721,39.04138192
226,Otter Tail,Minnesota,2023-12-05,Commercial Turkey Meat Bird,26300,MN,27111,-95.70748857,46.4090783
227,Spink,South Dakota,2023-12-05,Commercial Turkey Meat Bird,26600,SD,46115,-98.34623659,44.93824835
228,Stanislaus,California,2023-12-05,Commercial Broiler Production,239900,CA,6099,-120.9979524,37.55851635
229,Kingsbury,South Dakota,2023-12-05,WOAH Non-Poultry,370,SD,46077,-97.4913945,44.36956169
230,Buena Vista,Iowa,2022-12-05,Commercial Turkey Meat Bird,40700,IA,19021,-95.15100162,42.73545875
231,Lawrence,Alabama,2022-12-05,WOAH Non-Poultry,460,AL,1079,-87.31085381,34.52223687
232,Charles Mix,South Dakota,2022-12-05,Commercial Turkey Meat Bird,34100,SD,46023,-98.58785039,43.20792726
233,Clark,South Dakota,2022-12-05,Commercial Turkey Meat Bird,24300,SD,46025,-97.72949102,44.8584651
234,Stanislaus,California,2024-12-04,Commercial Turkey Meat Bird,57700,CA,6099,-120.9979524,37.55851635
235,Stanislaus,California,2024-12-04,Commercial Table Egg Layer,720800,CA,6099,-120.9979524,37.55851635
236,Charles Mix,South Dakota,2024-12-04,Commercial Turkey Meat Bird,65200,SD,46023,-98.58785039,43.20792726
237,Riverside,California,2024-12-04,WOAH Non-Poultry,70,CA,6065,-115.9939021,33.74329781
238,Stanislaus,California,2024-12-04,Commercial Turkey Meat Bird,23100,CA,6099,-120.9979524,37.55851635
239,Sacramento,California,2024-12-04,Commercial Turkey Meat Bird,61200,CA,6067,-121.3445212,38.44881725
240,Pottawatomie,Kansas,2023-12-04,WOAH Non-Poultry,30,KS,20149,-96.34276557,39.37903349
241,Barron,Wisconsin,2023-12-04,Commercial Turkey Meat Bird,113800,WI,55005,-91.84833604,45.42372695
242,Johnson,Arkansas,2023-12-04,Commercial Broiler Production,109000,AR,5071,-93.46000035,35.57001766
243,Mcpherson,South Dakota,2023-12-04,Commercial Turkey Meat Bird,40800,SD,,,
244,Spink,South Dakota,2024-12-03,Commercial Turkey Meat Bird,41400,SD,46115,-98.34623659,44.93824835
245,Fresno,California,2024-12-03,Commercial Broiler Production,237100,CA,6019,-119.6506833,36.75807672
246,Adair,Oklahoma,2024-12-03,Commercial Broiler Breeder,63700,OK,40001,-94.65863245,35.88406262
247,Mcpherson,South Dakota,2024-12-03,Commercial Turkey Meat Bird,78200,SD,,,
248,Utah,Utah,2024-12-03,WOAH Non-Poultry,30,UT,49049,-111.670284,40.11980262
249,Douglas,Kansas,2024-12-03,WOAH Non-Poultry,100,KS,20045,-95.29263542,38.88451412
250,Bottineau,North Dakota,2024-12-02,WOAH Poultry,30,ND,38009,-100.8333086,48.792102
251,Union,North Carolina,2022-12-02,WOAH Non-Poultry,9,NC,37179,-80.53061478,34.98836835
252,Knox,Nebraska,2022-12-02,WOAH Non-Poultry,10,NE,31107,-97.89176183,42.63684531
253,Clark,South Dakota,2022-12-02,WOAH Non-Poultry,40,SD,46025,-97.72949102,44.8584651
254,Bay,Michigan,2023-12-01,WOAH Non-Poultry,60,MI,26017,-83.99005144,43.70716549
255,Woodbury,Iowa,2023-12-01,WOAH Non-Poultry,40,IA,19193,-96.04432637,42.38966116
256,Canyon,Idaho,2023-12-01,WOAH Non-Poultry,20,ID,16027,-116.7092162,43.6251769
257,Darke,Ohio,2023-12-01,Commercial Turkey Meat Bird,33000,OH,39037,-84.61945793,40.13381861
258,Jackson,Missouri,2022-12-01,WOAH Non-Poultry,30,MO,29095,-94.34603332,39.00926211
259,Brookings,South Dakota,2022-12-01,WOAH Non-Poultry,210,SD,46011,-96.79064836,44.36981684
260,Arkansas,Arkansas,2022-12-01,WOAH Non-Poultry,20,AR,5001,-91.37520643,34.29076839
261,Lake,South Dakota,2022-12-01,Commercial Turkey Meat Bird,78000,SD,46079,-97.12926365,44.02193107
262,Sonoma,California,2023-11-30,Commercial Table Egg Layer,82500,CA,6097,-122.8872965,38.52842052
263,Minnehaha,South Dakota,2023-11-30,WOAH Non-Poultry,80,SD,46099,-96.7914546,43.67413367
264,Lewis And Clark,Montana,2023-11-30,WOAH Non-Poultry,6,MT,,,
265,Bent,Colorado,2023-11-30,WOAH Poultry,4100,CO,8011,-103.0720227,37.95492416
266,San Benito,California,2023-11-30,Commercial Duck Breeder,5000,CA,6069,-121.0752215,36.60559815
267,Grundy,Illinois,2022-11-30,WOAH Poultry,8800,IL,17063,-88.41891328,41.2856038
268,Hamlin,South Dakota,2022-11-30,Commercial Turkey Meat Bird,50000,SD,46057,-97.18829593,44.67385954
269,Charles Mix,South Dakota,2022-11-30,Commercial Turkey Meat Bird,75100,SD,46023,-98.58785039,43.20792726
270,Tulare,California,2024-11-29,Commercial Duck Breeder,26500,CA,6107,-118.8004216,36.22081997
271,Fresno,California,2024-11-29,Commercial Duck Breeder,23100,CA,6019,-119.6506833,36.75807672
272,Fresno,California,2024-11-29,Commercial Broiler Production,266400,CA,6019,-119.6506833,36.75807672
273,Meeker,Minnesota,2024-11-29,Commercial Turkey Meat Bird,223800,MN,27093,-94.52871063,45.12332877
274,Merced,California,2024-11-29,Commercial Turkey Meat Bird,25200,CA,6047,-120.7175058,37.19189197
275,Gibson,Tennessee,2024-11-29,Commercial Broiler Breeder,37700,TN,47053,-88.93264081,35.99666265
276,Otter Tail,Minnesota,2023-11-29,Commercial Turkey Meat Bird,18800,MN,27111,-95.70748857,46.4090783
277,Morgan,Colorado,2023-11-29,WOAH Non-Poultry,60,CO,8087,-103.8102221,40.26279879
278,Carroll,Arkansas,2023-11-29,Commercial Broiler Production,81200,AR,5015,-93.53832319,36.34107901
279,Becker,Minnesota,2023-11-29,Commercial Turkey Breeder Hens,23200,MN,27005,-95.67483556,46.93523736
280,Dickey,North Dakota,2023-11-29,WOAH Poultry,130,ND,38021,-98.50488391,46.11017237
281,Woodbury,Iowa,2023-11-29,WOAH Non-Poultry,10,IA,19193,-96.04432637,42.38966116
282,Douglas,Minnesota,2023-11-29,Commercial Turkey Meat Bird,13500,MN,27041,-95.45422901,45.93372693
283,Spink,South Dakota,2022-11-29,Commercial Turkey Meat Bird,32900,SD,46115,-98.34623659,44.93824835
284,Washington,Maryland,2022-11-29,Commercial Table Egg Breeder,24600,MD,24043,-77.81329014,39.60413752
285,Hanson,South Dakota,2022-11-29,Commercial Turkey Meat Bird,71600,SD,46061,-97.78704306,43.67458361
286,Mcpherson,South Dakota,2023-11-28,Commercial Turkey Meat Bird,61800,SD,,,
287,Colfax,Nebraska,2023-11-28,WOAH Non-Poultry,20,NE,31037,-97.086359,41.57404386
288,Dickey,North Dakota,2023-11-28,Commercial Turkey Meat Bird,60300,ND,38021,-98.50488391,46.11017237
289,Trempealeau,Wisconsin,2023-11-28,Commercial Turkey Meat Bird,23500,WI,55121,-91.35874906,44.30390193
290,Emmons,North Dakota,2023-11-28,WOAH Non-Poultry,60,ND,38029,-100.2386194,46.28495441
291,Yankton,South Dakota,2023-11-28,Commercial Turkey Meat Bird,49000,SD,46135,-97.39494039,43.00895493
292,Pierce,Washington,2023-11-28,WOAH Non-Poultry,540,WA,53053,-122.1122121,47.02680625
293,Sioux,Iowa,2023-11-28,Commercial Table Egg Layer,1616300,IA,19167,-96.17809424,43.08294203
294,Trempealeau,Wisconsin,2023-11-28,Commercial Turkey Meat Bird,48700,WI,55121,-91.35874906,44.30390193
295,Webster,Missouri,2022-11-28,Commercial Turkey Meat Bird,15100,MO,29225,-92.87591692,37.28085752
296,Iron,Utah,2022-11-28,WOAH Poultry,3000,UT,49021,-113.2894426,37.85935379
297,Ransom,North Dakota,2024-11-27,Commercial Turkey Meat Bird,59500,ND,38073,-97.65742504,46.45621782
298,Faulk,South Dakota,2024-11-27,Commercial Turkey Meat Bird,56000,SD,46049,-99.14535601,45.07082625
299,Meeker,Minnesota,2024-11-27,Commercial Turkey Meat Bird,24700,MN,27093,-94.52871063,45.12332877
300,Beadle,South Dakota,2024-11-27,Commercial Turkey Meat Bird,41100,SD,46005,-98.27883711,44.41467039
301,Union,Oregon,2024-11-27,WOAH Non-Poultry,30,OR,41061,-118.0093556,45.31039084
302,Sanpete,Utah,2024-11-27,Commercial Turkey Meat Bird,51800,UT,49039,-111.5763852,39.37372605
303,Brown,Minnesota,2023-11-27,Commercial Turkey Breeder Hens,7800,MN,27015,-94.727558,44.24201356
304,Sonoma,California,2023-11-27,Commercial Duck Breeder,205500,CA,6097,-122.8872965,38.52842052
305,Matanuska Susitna,Alaska,2024-11-26,WOAH Non-Poultry,70,AK,,,
306,Meeker,Minnesota,2024-11-25,Commercial Turkey Meat Bird,30500,MN,27093,-94.52871063,45.12332877
307,Beadle,South Dakota,2022-11-25,Commercial Turkey Meat Bird,50700,SD,46005,-98.27883711,44.41467039
308,Dixon,Nebraska,2022-11-25,Commercial Table Egg Layer,1700000,NE,31051,-96.86826909,42.49349461
309,Spink,South Dakota,2022-11-25,Commercial Turkey Meat Bird,55500,SD,46115,-98.34623659,44.93824835
310,Turner,South Dakota,2022-11-25,WOAH Non-Poultry,210,SD,46125,-97.14865776,43.3109081
311,Durham,North Carolina,2022-11-25,WOAH Non-Poultry,30,NC,37063,-78.87606872,36.03605321
312,Beadle,South Dakota,2022-11-25,Commercial Turkey Meat Bird,67900,SD,46005,-98.27883711,44.41467039
313,Matanuska Susitna,Alaska,2022-11-25,WOAH Non-Poultry,40,AK,,,
314,Freeborn,Minnesota,2023-11-24,WOAH Non-Poultry,8,MN,27047,-93.3488462,43.67383179
315,Clackamas,Oregon,2023-11-24,WOAH Non-Poultry,10,OR,41005,-122.2205544,45.18820387
316,Kandiyohi,Minnesota,2023-11-24,Commercial Turkey Breeder Hens,7300,MN,27067,-95.00576302,45.15252304
317,Otter Tail,Minnesota,2023-11-24,Commercial Breeder Operation,19400,MN,27111,-95.70748857,46.4090783
318,Davidson,Tennessee,2022-11-23,WOAH Non-Poultry,10,TN,47037,-86.78502875,36.16932462
319,Columbia,Oregon,2022-11-23,WOAH Non-Poultry,30,OR,41009,-123.0888664,45.94376691
320,Faulk,South Dakota,2022-11-23,Commercial Turkey Meat Bird,49900,SD,46049,-99.14535601,45.07082625
321,Brule,South Dakota,2022-11-23,WOAH Non-Poultry,30,SD,46015,-99.08125406,43.71816719
322,Todd,Minnesota,2022-11-23,Commercial Turkey Meat Bird,44500,MN,27153,-94.89728962,46.07014445
323,Broward,Florida,2022-11-23,WOAH Non-Poultry,10,FL,12011,-80.48723143,26.15220703
324,Merced,California,2024-11-22,Commercial Table Egg Pullets,538600,CA,6047,-120.7175058,37.19189197
325,Mchenry,North Dakota,2024-11-22,WOAH Poultry,80,ND,,,
326,Trempealeau,Wisconsin,2023-11-22,Commercial Turkey Meat Bird,51300,WI,55121,-91.35874906,44.30390193
327,Otter Tail,Minnesota,2023-11-22,Commercial Turkey Meat Bird,28000,MN,27111,-95.70748857,46.4090783
328,Brule,South Dakota,2023-11-22,Commercial Turkey Meat Bird,45100,SD,46015,-99.08125406,43.71816719
329,Stearns,Minnesota,2023-11-22,Commercial Turkey Meat Bird,34200,MN,27145,-94.61299658,45.55199481
330,Beadle,South Dakota,2022-11-22,Commercial Turkey Meat Bird,29200,SD,46005,-98.27883711,44.41467039
331,Webster,Missouri,2022-11-22,WOAH Poultry,9100,MO,29225,-92.87591692,37.28085752
332,Lemhi,Idaho,2024-11-21,WOAH Non-Poultry,20,ID,16059,-113.9335998,44.9436279
333,Maricopa,Arizona,2024-11-21,WOAH Non-Poultry,490,AZ,4013,-112.4908888,33.34875974
334,Piute,Utah,2024-11-21,Commercial Turkey Meat Bird,35500,UT,49031,-112.1276059,38.336223
335,Tulare,California,2024-11-21,Commercial Duck Meat Bird,96900,CA,6107,-118.8004216,36.22081997
336,Roger Mills,Oklahoma,2024-11-21,WOAH Non-Poultry,40,OK,40129,-99.69538847,35.68852706
337,Salt Lake,Utah,2024-11-21,WOAH Non-Poultry,30,UT,49035,-111.9241028,40.66728813
338,Madera,California,2024-11-21,WOAH Non-Poultry,10,CA,6039,-119.7624357,37.21825802
339,Broward,Florida,2023-11-21,WOAH Non-Poultry,5,FL,12011,-80.48723143,26.15220703
340,Clark,South Dakota,2023-11-21,Commercial Turkey Meat Bird,23600,SD,46025,-97.72949102,44.8584651
341,Union,Ohio,2023-11-21,Commercial Table Egg Layer,1348900,OH,39159,-83.37130174,40.29926661
342,Kandiyohi,Minnesota,2023-11-21,Commercial Breeder Operation,8400,MN,27067,-95.00576302,45.15252304
343,Sumter,Georgia,2023-11-21,Commercial Raised for Release Waterfowl,30000,GA,13261,-84.19615662,32.04008071
344,Caroline,Maryland,2023-11-21,Commercial Broiler Production,192900,MD,24011,-75.83180727,38.87198968
345,Clark,South Dakota,2023-11-21,Commercial Turkey Meat Bird,57400,SD,46025,-97.72949102,44.8584651
346,Grimes,Texas,2023-11-21,WOAH Non-Poultry,60,TX,48185,-95.98558082,30.5437066
347,Kingsbury,South Dakota,2023-11-21,Commercial Turkey Meat Bird,28800,SD,46077,-97.4913945,44.36956169
348,Brown,Minnesota,2023-11-21,Commercial Turkey Breeder Hens,6400,MN,27015,-94.727558,44.24201356
349,Beadle,South Dakota,2023-11-21,Commercial Turkey Meat Bird,78200,SD,46005,-98.27883711,44.41467039
350,Big Stone,Minnesota,2023-11-21,Commercial Turkey Meat Bird,78500,MN,27011,-96.41134505,45.42651259
351,Edmunds,South Dakota,2022-11-21,Commercial Turkey Meat Bird,34400,SD,46045,-99.21540939,45.41847898
352,Washington,Maine,2022-11-21,WOAH Non-Poultry,90,ME,23029,-67.62910779,45.02177186
353,Marin,California,2024-11-20,Commercial Duck Meat Bird,6500,CA,6041,-122.7234103,38.07351203
354,Kern,California,2024-11-20,Commercial Table Egg Layer,1022400,CA,6029,-118.72959,35.34292819
355,Matanuska Susitna,Alaska,2024-11-20,WOAH Non-Poultry,40,AK,,,
356,Edmunds,South Dakota,2023-11-20,Commercial Turkey Breeder Replacement Hens,30100,SD,46045,-99.21540939,45.41847898
357,Swift,Minnesota,2023-11-20,Commercial Turkey Meat Bird,134300,MN,27151,-95.68142474,45.28288933
358,Edmunds,South Dakota,2023-11-20,Commercial Turkey Meat Bird,33400,SD,46045,-99.21540939,45.41847898
359,San Juan,New Mexico,2023-11-20,WOAH Non-Poultry,20,NM,35045,-108.3206012,36.50824605
360,Taylor,Wisconsin,2023-11-20,WOAH Non-Poultry,8,WI,55119,-90.50164471,45.21158608
361,Day,South Dakota,2023-11-20,WOAH Poultry,60,SD,46037,-97.60737593,45.36728275
362,Walworth,South Dakota,2023-11-20,WOAH Non-Poultry,0,SD,46129,-100.0313401,45.42998641
363,Edmunds,South Dakota,2023-11-20,Commercial Turkey Breeder Hens,19200,SD,46045,-99.21540939,45.41847898
364,Fresno,California,2023-11-20,Commercial Duck Breeder,23400,CA,6019,-119.6506833,36.75807672
365,Fresno,California,2024-11-19,Commercial Broiler Production,172800,CA,6019,-119.6506833,36.75807672
366,Lake,South Dakota,2024-11-19,WOAH Non-Poultry,20,SD,46079,-97.12926365,44.02193107
367,Henry,Illinois,2024-11-19,WOAH Poultry,5600,IL,17073,-90.13161776,41.35314875
368,Whatcom,Washington,2024-11-19,WOAH Non-Poultry,40,WA,53073,-121.7209525,48.82595321
369,Merced,California,2024-11-19,Commercial Turkey Meat Bird,38200,CA,6047,-120.7175058,37.19189197
370,Martin,Minnesota,2024-11-18,WOAH Non-Poultry,40,MN,27091,-94.55099667,43.67430059
371,Honolulu,Hawaii,2024-11-18,WOAH Non-Poultry,9,HI,15003,-157.9746934,21.45879706
372,Martin,Minnesota,2024-11-18,WOAH Non-Poultry,30,MN,27091,-94.55099667,43.67430059
373,Union,North Carolina,2022-11-18,WOAH Non-Poultry,50,NC,37179,-80.53061478,34.98836835
374,Utah,Utah,2022-11-18,WOAH Non-Poultry,270,UT,49049,-111.670284,40.11980262
375,Fall River,South Dakota,2023-11-17,WOAH Non-Poultry,80,SD,46047,-103.5274481,43.23917478
376,Berks,Pennsylvania,2022-11-17,WOAH Non-Poultry,30,PA,42011,-75.92604322,40.41644424
377,Broward,Florida,2022-11-17,WOAH Non-Poultry,20,FL,12011,-80.48723143,26.15220703
378,Duval,Florida,2023-11-16,WOAH Non-Poultry,50,FL,12031,-81.67063889,30.33214142
379,Linn,Oregon,2023-11-16,Commercial Broiler Production,630700,OR,41043,-122.5341835,44.48880768
380,Stearns,Minnesota,2023-11-16,Commercial Turkey Meat Bird,43100,MN,27145,-94.61299658,45.55199481
381,Marion,Oregon,2023-11-16,Commercial Broiler Production,123500,OR,41047,-122.5849114,44.90322354
382,Benton,Iowa,2023-11-16,WOAH Non-Poultry,90,IA,19011,-92.06463573,42.08011739
383,Fresno,California,2022-11-16,Commercial Duck Breeder,34700,CA,6019,-119.6506833,36.75807672
384,Seminole,Florida,2022-11-16,WOAH Poultry,100,FL,12117,-81.23634611,28.71682625
385,Hillsborough,Florida,2022-11-16,WOAH Non-Poultry,100,FL,12057,-82.30867294,27.92948052
386,Stanislaus,California,2024-11-15,Commercial Turkey Meat Bird,21500,CA,6099,-120.9979524,37.55851635
387,Honolulu,Hawaii,2024-11-15,WOAH Non-Poultry,70,HI,15003,-157.9746934,21.45879706
388,Piute,Utah,2024-11-15,Commercial Turkey Meat Bird,35000,UT,49031,-112.1276059,38.336223
389,Edmunds,South Dakota,2023-11-15,Commercial Turkey Breeder Replacement Hens,24500,SD,46045,-99.21540939,45.41847898
390,Cass,Michigan,2023-11-15,WOAH Non-Poultry,20,MI,26027,-85.99403741,41.91545547
391,Mcintosh,North Dakota,2023-11-15,WOAH Poultry,100,ND,,,
392,Lamoure,North Dakota,2023-11-15,Commercial Turkey Meat Bird,25100,ND,,,
393,Otter Tail,Minnesota,2022-11-15,Commercial Turkey Meat Bird,28200,MN,27111,-95.70748857,46.4090783
394,Duval,Florida,2022-11-15,WOAH Non-Poultry,30,FL,12031,-81.67063889,30.33214142
395,Bledsoe,Tennessee,2022-11-15,Commercial Broiler Breeder,20900,TN,47007,-85.20533487,35.59663055
396,Fresno,California,2024-11-14,Commercial Turkey Meat Bird,39600,CA,6019,-119.6506833,36.75807672
397,Fresno,California,2024-11-14,Commercial Broiler Production,259000,CA,6019,-119.6506833,36.75807672
398,Kings,California,2024-11-14,Commercial Broiler Production,53300,CA,6031,-119.8151995,36.07520008
399,Kings,California,2024-11-14,Commercial Broiler Production,279300,CA,6031,-119.8151995,36.07520008
400,Fresno,California,2024-11-14,Commercial Turkey Meat Bird,17500,CA,6019,-119.6506833,36.75807672
401,Fresno,California,2024-11-14,Commercial Turkey Meat Bird,17700,CA,6019,-119.6506833,36.75807672
402,San Joaquin,California,2024-11-14,Commercial Broiler Production,29100,CA,6077,-121.2712102,37.9345275
403,Kings,California,2024-11-14,WOAH Non-Poultry,8,CA,6031,-119.8151995,36.07520008
404,Merced,California,2024-11-14,Commercial Turkey Meat Bird,53200,CA,6047,-120.7175058,37.19189197
405,Weld,Colorado,2024-11-14,WOAH Non-Poultry,80,CO,8123,-104.3930144,40.55487277
406,Missoula,Montana,2023-11-14,WOAH Non-Poultry,4,MT,30063,-113.9237814,47.03651185
407,Jasper,Missouri,2023-11-14,Commercial Turkey Meat Bird,29300,MO,29097,-94.34047486,37.20351967
408,Ellis,Texas,2023-11-14,WOAH Non-Poultry,50,TX,48139,-96.79470819,32.34880007
409,Redwood,Minnesota,2023-11-14,Commercial Turkey Meat Bird,18700,MN,27127,-95.25398841,44.40365018
410,Taylor,Iowa,2023-11-14,Commercial Table Egg Layer,1121100,IA,19173,-94.69599224,40.73748072
411,Kossuth,Iowa,2023-11-14,WOAH Poultry,13000,IA,19109,-94.20689787,43.20413984
412,Marion,Oregon,2023-11-14,WOAH Non-Poultry,5,OR,41047,-122.5849114,44.90322354
413,Deschutes,Oregon,2023-11-14,WOAH Non-Poultry,30,OR,41017,-121.227881,43.91469217
414,Cerro Gordo,Iowa,2023-11-14,WOAH Non-Poultry,80,IA,19033,-93.2612239,43.08177563
415,Jones,Iowa,2023-11-14,WOAH Non-Poultry,20,IA,19105,-91.13139641,42.12118609
416,Kandiyohi,Minnesota,2023-11-14,Commercial Turkey Meat Bird,35600,MN,27067,-95.00576302,45.15252304
417,Lowndes,Mississippi,2022-11-14,WOAH Non-Poultry,8,MS,28087,-88.4432447,33.47293459
418,Malheur,Oregon,2024-11-13,WOAH Non-Poultry,8,OR,41045,-117.6231067,43.19355699
419,Pinal,Arizona,2024-11-13,Commercial Table Egg Layer,829200,AZ,4021,-111.34488,32.90415087
420,Montrose,Colorado,2023-11-13,WOAH Non-Poultry,50,CO,8085,-108.2688129,38.4024194
421,Mcintosh,North Dakota,2023-11-13,WOAH Non-Poultry,50,ND,,,
422,Bonneville,Idaho,2023-11-13,WOAH Non-Poultry,50,ID,16019,-111.6147928,43.38792191
423,Fresno,California,2024-11-12,Commercial Turkey Meat Bird,34800,CA,6019,-119.6506833,36.75807672
424,Piute,Utah,2024-11-12,Commercial Turkey Meat Bird,37500,UT,49031,-112.1276059,38.336223
425,Tulare,California,2024-11-12,WOAH Non-Poultry,120,CA,6107,-118.8004216,36.22081997
426,Missoula,Montana,2024-11-12,WOAH Poultry,280,MT,30063,-113.9237814,47.03651185
427,Kern,California,2024-11-12,Commercial Table Egg Layer,2155100,CA,6029,-118.72959,35.34292819
428,Fresno,California,2024-11-12,Commercial Broiler Production,237700,CA,6019,-119.6506833,36.75807672
429,Queens,New York,2022-11-12,Live Bird Market,170,NY,36081,-73.81734511,40.70829859
430,Lapeer,Michigan,2022-11-10,WOAH Poultry,990,MI,26087,-83.22153148,43.09052506
431,Lehigh,Pennsylvania,2022-11-10,Commercial Turkey Breeder Toms,160,PA,42077,-75.59214444,40.61280627
432,Mountrail,North Dakota,2022-11-10,WOAH Non-Poultry,40,ND,38061,-102.3557043,48.20129569
