,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
1669,Weld,Colorado,2023-01-06,WOAH Non-Poultry,40,CO,8123,-104.3930144,40.55487277
1670,Thurston,Washington,2023-01-06,WOAH Non-Poultry,120,WA,53067,-122.8330654,46.92672896
1671,Washburn,Wisconsin,2024-01-05,Commercial Turkey Meat Bird,41000,WI,55129,-91.79131495,45.89909725
1672,Codington,South Dakota,2023-01-05,WOAH Poultry,140,SD,46029,-97.18860384,44.97790512
1673,Kent,Delaware,2025-01-04,Commercial Broiler Production,125000,DE,10001,-75.56844621,39.08639126
1674,Ottawa,Michigan,2025-01-04,Commercial Turkey Meat Bird,47000,MI,26139,-85.9964531,42.95990607
1675,Ottawa,Michigan,2025-01-04,Commercial Turkey Meat Bird,55200,MI,26139,-85.9964531,42.95990607
1676,Rice,Kansas,2024-01-04,Commercial Table Egg Pullets,240000,KS,20159,-98.20053402,38.34721983
1677,Anderson,Kansas,2023-01-04,Commercial Upland Gamebird Producer,8900,KS,20003,-95.29324204,38.21396508
1678,Johnson,Missouri,2023-01-04,WOAH Non-Poultry,30,MO,29101,-93.80588795,38.74399152
1679,Josephine,Oregon,2023-01-04,WOAH Non-Poultry,30,OR,41033,-123.5552595,42.36551155
1680,Canyon,Idaho,2025-01-03,WOAH Non-Poultry,20,ID,16027,-116.7092162,43.6251769
1681,Stanislaus,California,2025-01-03,Commercial Broiler Production,236100,CA,6099,-120.9979524,37.55851635
1682,Sharp,Arkansas,2025-01-03,WOAH Non-Poultry,20,AR,5135,-91.47928351,36.16124847
1683,Pocahontas,West Virginia,2025-01-03,WOAH Poultry,9,WV,54075,-80.00762338,38.33190977
1684,Butte,California,2025-01-03,Commercial Raised for Release Upland Game Bird,38700,CA,6007,-121.6008508,39.66681952
1685,Canyon,Idaho,2025-01-03,WOAH Non-Poultry,20,ID,16027,-116.7092162,43.6251769
1686,Canyon,Idaho,2025-01-03,WOAH Non-Poultry,20,ID,16027,-116.7092162,43.6251769
1687,Canyon,Idaho,2025-01-03,WOAH Non-Poultry,70,ID,16027,-116.7092162,43.6251769
1688,Merced,California,2024-01-03,Commercial Broiler Production,534800,CA,6047,-120.7175058,37.19189197
1689,Sonoma,California,2024-01-03,Commercial Broiler Production,77900,CA,6097,-122.8872965,38.52842052
1690,Merced,California,2024-01-03,Commercial Table Egg Layer,764300,CA,6047,-120.7175058,37.19189197
1691,Stanislaus,California,2025-01-02,Commercial Table Egg Layer,75200,CA,6099,-120.9979524,37.55851635
